song_title,artist,genre,id,beatmap_id,date_started,date_ended,accuracy,max_combo_player,max_combo_beatmap,is_perfect_combo,passed,max_great,great,ok,meh,miss,ar,cs,bpm,hit_length,count_circles,count_sliders,count_spinners,difficulty_rating,beatmap_type,played_before
Space Invaders,Teminite & MDK,Electronic,6208454771,2114276,2026-02-12 23:19:32+08:00,2026-02-12 23:25:24+08:00,89.25,303,2007,False,True,1199,985,164,9,41,9.2,3.0,128.0,318,451,740,8,5.39013,Tech,True
Rubik's Cube,Hatsune Miku,Rock,6213172375,114635,2026-02-13 21:29:39+08:00,2026-02-13 21:32:31+08:00,93.52,363,1027,False,True,717,648,47,3,19,9.0,4.0,174.0,151,470,246,1,5.5304,Hybrid,True
Reizouko Mitara Pudding ga Nai,bibuko,Rock,6213195094,256839,2026-02-13 21:35:51+08:00,2026-02-13 21:37:52+08:00,97.34,304,841,False,True,637,612,19,1,5,9.0,4.0,190.0,113,447,189,1,5.77635,Stream,True
Hatsune Miku no Shoushitsu,cosMo@BousouP feat.Hatsune Miku,Rock,6213223946,321336,2026-02-13 21:40:10+08:00,2026-02-13 21:44:30+08:00,91.93,499,1756,False,True,848,731,87,12,18,9.0,4.0,240.0,206,432,414,2,5.79673,Stream,True
30's Swing Tek,Floxytek vs Billx,Electronic,6213283872,169271,2026-02-13 21:55:40+08:00,2026-02-13 21:57:57+08:00,94.27,203,789,False,True,559,509,37,6,7,9.0,4.0,190.0,121,390,168,1,5.40539,Hybrid,True
Now Loading!!!!,fourfolium,Anime,6213310555,1046072,2026-02-13 21:59:41+08:00,2026-02-13 22:03:52+08:00,98.85,815,1452,False,True,953,936,11,,6,9.0,4.0,193.0,238,454,497,2,5.07875,Jump,True
Genryuu Kaiko,Halozy,Video Game,6213340337,577517,2026-02-13 22:05:20+08:00,2026-02-13 22:10:29+08:00,96.56,587,1715,False,True,1163,1103,38,1,21,9.2,4.0,173.0,300,706,455,2,5.35138,Hybrid,False
Airman ga Taosenai (SOUND HOLIC Ver.),Hanatan,Video Game,6213364068,345099,2026-02-13 22:11:50+08:00,2026-02-13 22:15:42+08:00,99.23,617,1238,False,True,885,875,6,,4,9.0,4.0,175.0,216,573,309,3,5.33301,Hybrid,True
The Pretender,Infected Mushroom,Rock,6213403705,221777,2026-02-13 22:18:16+08:00,2026-02-13 22:24:27+08:00,96.43,384,2388,False,True,1450,1373,49,7,21,9.0,4.0,174.0,364,854,593,3,5.78374,Hybrid,True
TRIPLE PLAY,KASAI HARCORES,Electronic,6213429355,1477910,2026-02-13 22:26:34+08:00,2026-02-13 22:30:05+08:00,91.3,317,1770,False,False,1058,793,73,11,38,9.5,3.8,175.0,238,493,565,0,5.94715,Tech,True
Playing With Fire,kors k,Video Game,6213441749,2011421,2026-02-13 22:31:00+08:00,2026-02-13 22:32:46+08:00,82.75,124,669,False,True,469,346,86,10,27,9.4,4.0,160.0,92,294,171,4,5.83337,Tech,True
Remote Control,kradness&Reol,Electronic,6213469604,774965,2026-02-13 22:33:28+08:00,2026-02-13 22:38:39+08:00,95.62,597,1774,False,True,1173,1089,65,6,13,9.2,4.0,165.0,295,693,479,1,5.68253,Jump,True
Calamity Fortune,LeaF,Video Game,6213511145,261725,2026-02-13 22:45:07+08:00,2026-02-13 22:47:24+08:00,96.5,373,987,False,True,628,591,30,,7,9.0,4.0,200.0,129,360,267,1,5.29945,Stream,True
Rally Go Round,LiSA,Anime,6213536970,740692,2026-02-13 22:48:22+08:00,2026-02-13 22:52:47+08:00,98.09,420,1536,False,True,1111,1083,13,1,14,9.3,4.0,190.0,248,710,400,1,5.74763,Hybrid,True
Bad Apple!! (REDALiCE Remix),Masayoshi Minoshima,Video Game,6213563285,360925,2026-02-13 22:53:57+08:00,2026-02-13 22:58:11+08:00,96.28,452,1580,False,True,1105,1042,49,3,11,9.0,4.0,170.0,239,680,424,1,5.4217,Hybrid,False
United (L.A.O.S Remix),Our Stolen Theory,Electronic,6213639171,550235,2026-02-13 23:08:16+08:00,2026-02-13 23:13:39+08:00,92.17,410,2275,False,True,1758,1561,126,26,45,9.2,4.0,175.0,300,1338,416,4,6.08624,Hybrid,True
CANDYYYLAND feat. LIZ (Pa's Lam System Remix),tofubeats,Electronic,6213676827,1418502,2026-02-13 23:17:38+08:00,2026-02-13 23:21:22+08:00,89.92,239,1485,False,True,961,802,126,18,15,9.0,4.0,160.0,208,504,455,2,5.43985,Tech,True
Boss Rush,USAO,Video Game,6213689802,1324737,2026-02-13 23:21:57+08:00,2026-02-13 23:24:04+08:00,98.05,308,745,False,True,520,506,5,,9,9.0,4.0,190.0,118,294,223,3,5.17064,Hybrid,True
Ascension to Heaven,xi,Electronic,6213707436,2067141,2026-02-13 23:24:56+08:00,2026-02-13 23:27:39+08:00,83.32,251,1200,False,True,720,522,175,11,12,9.2,4.0,200.0,154,512,203,5,5.7734,Stream,True
Future Candy,YUC'e,Electronic,6213731639,1521481,2026-02-13 23:28:26+08:00,2026-02-13 23:32:32+08:00,94.53,460,1218,False,True,755,684,64,2,5,9.0,4.0,180.0,173,410,345,0,5.2298,Tech,True
Sunset Tea Cup,YUC'e,Electronic,6213747892,1347099,2026-02-13 23:32:54+08:00,2026-02-13 23:35:48+08:00,85.42,147,1241,False,True,698,550,101,13,34,9.3,4.2,160.0,168,282,416,0,5.89003,Tech,True
Aresene's Bazaar,James Landino,Electronic,6213776806,4091822,2026-02-13 23:39:07+08:00,2026-02-13 23:41:37+08:00,84.39,149,1058,False,True,648,487,124,13,24,9.0,3.5,155.0,143,269,379,0,5.24267,Tech,True
Cycle Hit,KASAI HARCORES,Electronic,6213839978,1351114,2026-02-13 23:48:51+08:00,2026-02-13 23:54:07+08:00,87.92,496,2375,False,True,1421,1165,168,28,60,9.5,3.8,175.0,301,777,643,1,6.02478,Tech,True
REANIMATE,Warak,Video Game,6213855860,487589,2026-02-13 23:54:40+08:00,2026-02-13 23:57:14+08:00,88.33,280,957,False,True,649,527,96,5,21,9.5,4.0,174.0,149,363,285,1,5.58811,Tech,False
SHIORI -TV size mix-,ClariS,Anime,6218026048,1401254,2026-02-14 17:58:43+08:00,2026-02-14 18:00:16+08:00,96.95,320,470,False,True,300,285,8,5,2,9.0,4.0,176.0,88,149,151,0,5.36092,Jump,True
Uso no Hibana,96neko,Anime,6218079904,1222417,2026-02-14 18:11:33+08:00,2026-02-14 18:15:14+08:00,97.78,987,1313,False,True,887,859,21,,7,9.0,4.0,188.0,209,504,382,1,5.10323,Jump,True
Rubik's Cube,Hatsune Miku,Rock,6218120237,114635,2026-02-14 18:23:09+08:00,2026-02-14 18:26:02+08:00,96.14,275,1027,False,True,717,675,31,,11,9.0,4.0,174.0,151,470,246,1,5.5304,Hybrid,True
The Words I Never Said,Mage,Electronic,6218145507,3018109,2026-02-14 18:27:36+08:00,2026-02-14 18:32:43+08:00,84.11,763,2376,False,True,1742,1297,393,28,24,9.2,3.9,172.0,295,1332,404,6,5.88379,Stream,True
Split EX (Instrumental Ver.),Ardolf,Electronic,6218159313,4767832,2026-02-14 18:33:19+08:00,2026-02-14 18:36:25+08:00,95.82,380,1520,False,True,1010,943,53,1,13,9.1,4.0,170.0,181,657,353,0,5.2796,Stream,True
RAISE MY SWORD,GALNERYUS,Metal,6218177789,1957429,2026-02-14 18:38:20+08:00,2026-02-14 18:41:23+08:00,94.63,608,1589,False,True,964,881,71,,12,9.2,4.0,184.0,166,648,313,3,5.93782,Stream,False
Oriens,ginkiha,Video Game,6218187291,192515,2026-02-14 18:41:45+08:00,2026-02-14 18:43:53+08:00,94.18,184,814,False,True,515,469,33,2,11,9.0,5.0,185.0,112,322,190,3,5.66872,Stream,False
furioso melodia,gmtn. (witch's slave),Electronic,6218195463,432030,2026-02-14 18:44:07+08:00,2026-02-14 18:46:01+08:00,87.45,195,763,False,True,529,424,79,13,13,9.0,4.0,155.0,108,329,199,1,5.55109,Stream,True
HONESTY,GYZE,Metal,6218217393,2316176,2026-02-14 18:46:34+08:00,2026-02-14 18:51:39+08:00,88.92,1155,2354,False,True,1560,1270,253,26,11,9.0,3.5,185.0,300,1054,501,5,5.55426,Stream,True
Goya no Machiawase (TV Size),Hello Sleepwalkers,Anime,6218233110,354185,2026-02-14 18:54:11+08:00,2026-02-14 18:55:44+08:00,95.75,431,537,False,True,363,335,27,,1,9.0,4.0,189.0,88,195,167,1,5.21063,Stream,False
Calamity Fortune,LeaF,Video Game,6218245215,261725,2026-02-14 18:56:37+08:00,2026-02-14 18:58:54+08:00,97.79,798,987,False,True,628,604,22,1,1,9.0,4.0,200.0,129,360,267,1,5.29945,Stream,True
Yoru Naku Usagi wa Yume o Miru,UNDEAD CORPORATION,Video Game,6218295603,176960,2026-02-14 19:08:09+08:00,2026-02-14 19:11:54+08:00,98.38,1217,1505,False,True,959,931,26,1,1,9.0,4.0,200.0,213,542,416,1,5.45238,Stream,True
Ascension to Heaven,xi,Electronic,6218328351,2067141,2026-02-14 19:17:27+08:00,2026-02-14 19:20:08+08:00,87.58,851,1200,False,True,720,572,128,11,9,9.2,4.0,200.0,154,512,203,5,5.7734,Stream,True
FireLight (Neokontrol Remix),"Dustvoxx, Laur",Electronic,6218393539,3122865,2026-02-14 19:30:51+08:00,2026-02-14 19:36:30+08:00,91.71,465,3273,False,True,1710,1471,199,18,22,9.3,4.0,190.0,334,950,759,1,5.35001,Stream,True
Future Candy,YUC'e,Electronic,6219199528,1521481,2026-02-14 22:27:07+08:00,2026-02-14 22:30:44+08:00,95.46,362,1218,False,True,755,698,46,4,7,9.0,4.0,180.0,173,410,345,0,5.2298,Tech,True
Hysteric Night Girl -Awakening- (feat. Such),PSYQUI,Electronic,6219227245,3102956,2026-02-14 22:32:59+08:00,2026-02-14 22:36:13+08:00,90.7,200,1250,False,True,751,643,77,8,23,9.0,3.5,160.0,179,278,471,2,5.05827,Tech,True
The 89's Momentum,MYUKKE.,Video Game,6219241340,3514465,2026-02-14 22:36:42+08:00,2026-02-14 22:39:00+08:00,81.21,121,871,False,True,550,379,143,9,19,9.2,4.0,128.0,133,302,247,1,5.18774,Tech,True
Aresene's Bazaar,James Landino,Electronic,6219257309,4091822,2026-02-14 22:39:37+08:00,2026-02-14 22:42:07+08:00,84.08,180,1058,False,True,648,485,124,13,26,9.0,3.5,155.0,143,269,379,0,5.24267,Tech,True
"Bassdrop Freaks (2018 ""Redrop"" ver.)",Camellia feat. Nanahira,Electronic,6219284334,1701400,2026-02-14 22:42:52+08:00,2026-02-14 22:47:26+08:00,95.13,733,1917,False,True,1149,1054,79,2,14,9.0,4.0,179.0,255,444,703,2,5.09048,Tech,True
Newspapers for Magicians,Camellia,Electronic,6219310082,1970128,2026-02-14 22:48:01+08:00,2026-02-14 22:52:30+08:00,85.87,280,1898,False,True,1048,803,206,13,26,9.0,4.0,150.0,251,505,539,4,4.99846,Tech,True
Exit This Earth's Atomosphere,Camellia,Electronic,6219340530,917176,2026-02-14 22:52:55+08:00,2026-02-14 22:58:27+08:00,90.87,478,2195,False,True,1235,1052,149,5,29,9.3,4.0,170.0,311,568,665,2,6.07172,Tech,True
Amazing Mirage,lapix,Electronic,6219379709,1848516,2026-02-14 23:04:14+08:00,2026-02-14 23:06:11+08:00,88.01,142,892,False,True,587,480,85,6,16,9.2,4.0,153.0,106,351,234,2,5.04291,Tech,False
trappola bewitching,gmtn. (witch's slave),Electronic,6219446374,3381483,2026-02-14 23:17:22+08:00,2026-02-14 23:19:22+08:00,88.77,197,840,False,True,515,422,75,1,17,9.0,3.6,190.0,115,301,213,1,4.96234,Tech,False
SELF DESTRUCT,sakuraburst,Electronic,6219481731,2161036,2026-02-14 23:22:04+08:00,2026-02-14 23:26:23+08:00,80.41,246,1670,False,True,999,692,234,26,47,9.2,4.2,160.0,255,484,514,1,5.81742,Tech,False
Fuse,sky_delta vs. Tanchiky,Electronic,6219506115,3464454,2026-02-14 23:27:36+08:00,2026-02-14 23:31:13+08:00,92.26,645,1529,False,True,968,848,106,6,8,9.1,3.9,175.0,201,481,486,1,5.23578,Tech,False
Cycle Hit,KASAI HARCORES,Electronic,6219547064,1351114,2026-02-14 23:34:02+08:00,2026-02-14 23:39:18+08:00,89.23,513,2375,False,True,1421,1196,159,16,50,9.5,3.8,175.0,301,777,643,1,6.02478,Tech,True
Split EX (Instrumental Ver.),Ardolf,Electronic,6223470234,4767832,2026-02-15 16:01:30+08:00,2026-02-15 16:04:37+08:00,92.29,305,1520,False,True,1010,887,91,12,20,9.1,4.0,170.0,181,657,353,0,5.2796,Stream,True
Super Nuko World,yuikonnu & ayaponzu*,Rock,6223485809,476149,2026-02-15 16:05:59+08:00,2026-02-15 16:09:41+08:00,98.52,583,1381,False,True,1015,991,21,,3,9.0,4.0,190.0,205,678,336,1,5.21271,Stream,True
Ascension to Heaven,xi,Electronic,6223496024,2732590,2026-02-15 16:10:22+08:00,2026-02-15 16:13:02+08:00,92.45,366,849,False,True,479,419,48,4,8,9.0,4.0,200.0,154,253,221,5,5.28243,Stream,False
Rubik's Cube,Hatsune Miku,Rock,6223526926,114635,2026-02-15 16:20:01+08:00,2026-02-15 16:22:54+08:00,95.39,348,1027,False,True,717,664,45,,8,9.0,4.0,174.0,151,470,246,1,5.5304,Stream,True
Hatsune Miku no Shoushitsu,cosMo@BousouP feat.Hatsune Miku,Rock,6223547011,321336,2026-02-15 16:24:59+08:00,2026-02-15 16:29:19+08:00,96.7,780,1756,False,True,848,801,37,2,8,9.0,4.0,240.0,206,432,414,2,5.79673,Stream,True
Tower Of Heaven (You Are Slaves),Feint,Electronic,6223566017,845391,2026-02-15 16:32:34+08:00,2026-02-15 16:35:23+08:00,84.29,340,1282,False,True,927,694,198,6,29,9.2,4.0,175.0,155,611,315,1,6.14043,Stream,True
trappola bewitching,gmtn. (witch's slave),Electronic,6223574679,3381483,2026-02-15 16:36:09+08:00,2026-02-15 16:38:09+08:00,90.02,262,840,False,True,515,429,72,5,9,9.0,3.6,190.0,115,301,213,1,4.96234,Tech,True
VEZZELiX,Reku Mochizuki,Electronic,6223582954,3910493,2026-02-15 16:38:39+08:00,2026-02-15 16:40:46+08:00,90.53,372,950,False,True,632,544,72,5,11,9.0,3.8,190.0,110,346,286,0,5.17403,Tech,False
Au (Gancher & Ruin Remix),osaili,Electronic,6223595532,4836970,2026-02-15 16:41:17+08:00,2026-02-15 16:44:39+08:00,86.31,252,1187,False,True,765,602,123,13,27,9.4,3.5,175.0,178,391,372,2,5.62936,Tech,False
Fuse,sky_delta vs. Tanchiky,Electronic,6223609938,3464454,2026-02-15 16:45:31+08:00,2026-02-15 16:49:08+08:00,92.95,610,1529,False,True,968,858,98,6,6,9.1,3.9,175.0,201,481,486,1,5.23578,Tech,True
CANDYYYLAND feat. LIZ (Pa's Lam System Remix),tofubeats,Electronic,6223628632,1418503,2026-02-15 16:51:16+08:00,2026-02-15 16:54:48+08:00,86.66,316,1181,False,True,744,597,104,14,29,9.3,4.0,160.0,188,337,401,6,6.06101,Tech,True
Cycle Hit,KASAI HARCORES,Electronic,6223649045,1351114,2026-02-15 16:55:42+08:00,2026-02-15 17:00:58+08:00,88.82,393,2375,False,True,1421,1167,212,10,32,9.5,3.8,175.0,301,777,643,1,6.02478,Tech,True
Remote Control,Saiya,Electronic,6223684451,164020,2026-02-15 17:09:44+08:00,2026-02-15 17:12:07+08:00,90.92,284,652,False,True,479,413,51,1,14,9.0,4.0,165.0,130,345,132,2,5.49248,Jump,True
No title,Reol,Pop,6223696132,712376,2026-02-15 17:14:23+08:00,2026-02-15 17:15:44+08:00,98.79,365,476,False,True,328,322,5,,1,9.1,4.0,200.0,77,186,142,0,5.24534,Jump,True
Blood Sugar,Pendulum,Electronic,6223713699,111439,2026-02-15 17:16:51+08:00,2026-02-15 17:21:11+08:00,96.97,308,983,False,True,733,704,10,1,18,9.0,4.0,176.0,208,514,212,7,5.52994,Jump,False
Minimum,MIMI feat. wanko,Pop,6223728266,3793450,2026-02-15 17:23:12+08:00,2026-02-15 17:25:34+08:00,96.4,163,716,False,True,535,507,18,1,9,9.2,3.8,202.0,130,367,167,1,5.50331,Jump,False
Say Goodbye,Krewella,Electronic,6223742662,959406,2026-02-15 17:26:10+08:00,2026-02-15 17:29:54+08:00,97.34,230,1034,False,True,753,727,9,,17,9.5,4.0,180.0,199,489,260,4,5.31257,Jump,True
pensamento tipico de esquerda caviar,Maffalda,Hip Hop,6223755071,422328,2026-02-15 17:31:37+08:00,2026-02-15 17:33:36+08:00,94.81,249,535,False,True,360,336,7,,17,9.0,4.0,157.1,112,208,149,3,5.8496,Jump,True
Airman ga Taosenai (SOUND HOLIC Ver.),Hanatan,Video Game,6223782951,345099,2026-02-15 17:37:55+08:00,2026-02-15 17:41:47+08:00,98.85,646,1238,False,True,885,868,15,,2,9.0,4.0,175.0,216,573,309,3,5.33301,Hybrid,True
Hoohah (VIP Edit),Fox Stevenson & Curbi,Electronic,6223790159,1295253,2026-02-15 17:42:19+08:00,2026-02-15 17:43:53+08:00,97.94,402,486,False,True,349,338,9,,2,9.2,4.0,174.0,81,221,127,1,5.19241,Hybrid,True
Reizouko Mitara Pudding ga Nai,bibuko,Rock,6223810303,256840,2026-02-15 17:47:37+08:00,2026-02-15 17:49:38+08:00,93.6,157,829,False,True,613,555,42,1,15,9.0,4.0,190.0,113,463,149,1,6.04401,Hybrid,True
Uta,Imperial Circus Dead Decadence,Metal,6223845954,2015472,2026-02-15 17:51:22+08:00,2026-02-15 17:59:42+08:00,95.75,816,3147,False,True,1880,1747,115,3,15,9.2,4.0,205.0,441,1005,870,5,5.59306,Hybrid,False
Ashes of the Dawn,DragonForce / R3 Music Box,Metal,6224085196,1601387,2026-02-15 19:00:34+08:00,2026-02-15 19:05:41+08:00,87.47,272,2182,False,True,1508,1220,225,12,51,9.3,4.0,180.0,303,921,583,4,6.03585,Stream,False
Saiyajin,Thaehan,Electronic,6224098747,1449826,2026-02-15 19:07:47+08:00,2026-02-15 19:09:17+08:00,97.75,471,588,False,True,454,437,16,,1,9.0,4.0,180.0,86,325,129,0,5.15087,Stream,True
Time Bomb (feat. Veela),Feint & Boyinaband,Electronic,6224127025,1384287,2026-02-15 19:13:58+08:00,2026-02-15 19:16:38+08:00,95.24,712,786,False,True,575,527,47,,1,9.2,4.0,175.0,144,366,209,0,5.27509,Jump,True
TRIPLE PLAY,KASAI HARCORES,Electronic,6224148747,1477910,2026-02-15 19:18:42+08:00,2026-02-15 19:22:12+08:00,88.51,292,1770,False,False,1058,742,114,26,29,9.5,3.8,175.0,238,493,565,0,5.94715,Tech,True
Playing With Fire,kors k,Video Game,6224158842,2011421,2026-02-15 19:22:58+08:00,2026-02-15 19:24:45+08:00,83.94,220,669,False,True,469,356,79,7,27,9.4,4.0,160.0,92,294,171,4,5.83337,Tech,True
The Pretender,Infected Mushroom,Rock,6224198872,221777,2026-02-15 19:28:23+08:00,2026-02-15 19:34:38+08:00,94.42,521,2388,False,True,1450,1334,74,6,36,9.0,4.0,174.0,364,854,593,3,5.78374,Hybrid,True
The Words I Never Said,Mage,Electronic,6224369676,3018109,2026-02-15 20:10:56+08:00,2026-02-15 20:16:03+08:00,84.3,736,2376,False,True,1742,1300,391,30,21,9.2,3.9,172.0,295,1332,404,6,5.88379,Stream,True
